Case,Date,Time,Street1,DisFm,Geo,Street2,P1,P2,P3,Primary,Inj,Fatal,HR,PP
91096317,"Wed., Mar. 11,2009",12:55,HOWARD,10,W,9TH,BICYCLE,AUTO,,21650.1,1,0,,,South Of Market,21650.1,Right Side of Roadway
91015834,"Sun., Mar. 15,2009",05:13,3RD,0,X,BRYANT,BICYCLE,AUTO,,21657,1,0,,,South Of Market,21657,Designated Traffic Direction
91033284,"Mon., Mar. 16,2009",17:04,6TH,40,S,HOWARD,BICYCLE,AUTO,,21658A,1,0,,,South Of Market,21658A,Laned Roadways
90590543,"Mon., Mar. 16,2009",18:26,MARKET,48,W,6TH,BICYCLE,AUTO,,21750,1,0,,,Downtown,21750,Overtake and Pass to Left
90868909,"Tue., Mar. 17,2009",17:40,MARKET,0,X,VALENCIA,BICYCLE,AUTO,,21750,1,0,,,South Of Market,21750,Overtake and Pass to Left
90867428,"Tue., Mar. 17,2009",10:54,DIVISION,0,X,HENRY ADAMS,BICYCLE,AUTO,,21755,1,0,,,South Of Market,21755,Pass on Right Safely
90853568,"Wed., Mar. 18,2009",18:20,BOARDMAN,2,W,BRANNAN,BICYCLE,AUTO,,21804,1,0,,,South Of Market,21804,Entry Onto Highway
90233910,"Wed., Mar. 18,2009",08:05,5TH,0,X,HOWARD,BICYCLE,AUTO,,22107,1,0,,,,22107,Turning Movements and Required Signals
90550805,"Fri., Mar. 20,2009",10:36,MISSION,31,W,MINT,BICYCLE,AUTO,,22107,1,0,,,South Of Market,22107,Turning Movements and Required Signals
90568927,"Tue., Mar. 24,2009",17:55,8TH,0,X,BRANNAN,BICYCLE,AUTO,,22107,1,0,,,South Of Market,22107,Turning Movements and Required Signals
90969911,"Tue., Mar. 24,2009",23:46,MISSION,27,W,NEW MONTGOMERY,BICYCLE,AUTO,,22107,1,0,,,Financial District,22107,Turning Movements and Required Signals
91016105,"Wed., Mar. 25,2009",07:55,DIVISION,41,E,HENRY ADAMS,BICYCLE,AUTO,,22107,1,0,,,South Of Market,22107,Turning Movements and Required Signals
91113143,"Wed., Mar. 25,2009",21:51,5TH,0,X,HOWARD,BICYCLE,AUTO,,22350,1,0,,,South Of Market,22350,Basic Speed Law
91127649,"Thu., Mar. 26,2009",21:10,MARKET,31,E,JONES,BICYCLE,AUTO,,22350,1,0,,,Downtown,22350,Basic Speed Law
91076369,"Thu., Mar. 26,2009",21:43,8TH,0,X,TOWNSEND,BICYCLE,AUTO,,22450,1,0,,,South Of Market,22450,Stop Requirements
90314946,"Thu., Mar. 26,2009",21:00,MARKET,0,X,OCTAVIA,BICYCLE,AUTO,,21703,1,0,,,Mission,21703,Following Too Closely
91225726,"Fri., Mar. 27,2009",00:51,17TH,0,X,VALENCIA,BICYCLE,AUTO,,21801B,1,0,,,Mission,21801B,Left-Turn or U-Turn
91063827,"Sat., Mar. 28,2009",09:15,5TH,24,S,MARKET,BICYCLE,AUTO,,21453A,1,0,,,Downtown,21453A,Circular Red or Red Arrow
90751235,"Sat., Mar. 28,2009",00:16,4TH,0,X,HOWARD,BICYCLE,AUTO,,21457A,1,0,,,South Of Market,21457A,Flashing Signals
90098980,"Tue., Mar. 31,2009",17:30,3RD,150,N,HARRISON,BICYCLE,AUTO,,21703,1,0,,,South Of Market,21703,Following Too Closely
90607569,"Tue., Mar. 31,2009",11:45,FOLSOM,199,W,3RD,BICYCLE,AUTO (PKD),,22350,1,0,,,Financial District,22350,Basic Speed Law
90337960,"Tue., Mar. 31,2009",18:50,TOWNSEND,212,E,6TH,BICYCLE,AUTO (PKD),,22350,1,0,,,South Of Market,22350,Basic Speed Law
90285864,"Fri., Apr. 03,2009",16:05,2ND,89,S,TOWNSEND,BICYCLE,AUTO (PKD),,22350,0,0,YES,,South Of Market,22350,Basic Speed Law
90659770,"Fri., Apr. 03,2009",18:38,HOWARD,4,W,8TH,BICYCLE,BICYCLE,,21755,1,0,,,South Of Market,21755,Pass on Right Safely
91220055,"Sat., Apr. 04,2009",09:30,MARKET,21,E,VAN NESS,BICYCLE,BICYCLE,,22107,1,0,,,Downtown,22107,Turning Movements and Required Signals
91209134,"Mon., Apr. 06,2009",13:58,MARKET,40,W,MONTGOMERY,BICYCLE,BUS (OTHER),,22107,1,0,,,Financial District,22107,Turning Movements and Required Signals
91134707,"Wed., Apr. 08,2009",17:26,MARKET,84,W,SUTTER,BICYCLE,FIXED OBJECT,,21208B,1,0,,,Financial District,21208B,Permitted Movements from Bicycle Lanes
