Case,Date,Time,Street1,DisFm,Geo,Street2,P1,P2,P3,Primary,Inj,Fatal,HR,PP
100249388,"Tue., Mar. 16,2010",10:05,MARKET,6,E,SUTTER,TRK/TRK TRAC,BICYCLE,,21750,1,0,,
100259230,"Thu., Mar. 18,2010",22:07,MISSION,0,X,FAIR,TRK/TRK TRAC,BICYCLE,,22350,1,0,,
100322649,"Wed., Apr. 07,2010",13:20,BAY,142,E,HYDE,TRK/TRK TRAC,BICYCLE,,22350,1,0,YES,
100439357,"Wed., May. 12,2010",09:25,15TH,0,X,HARRISON,TRK/TRK TRAC,BICYCLE,,21801A,1,0,,
100443461,"Thu., May. 13,2010",13:25,ELLIS,0,X,POLK,TRK/TRK TRAC,BICYCLE,,21801A,1,0,,
100507813,"Tue., Jun. 01,2010",14:50,MARKET,0,X,VALENCIA,TRK/TRK TRAC,BICYCLE,,22107,1,0,,
100725786,"Sun., Aug. 08,2010",18:26,APOLLO,0,X,WILLIAMS,TRK/TRK TRAC,BICYCLE,,NS,1,0,,
100784710,"Thu., Aug. 26,2010",11:36,ARMY,8,W,SHOTWELL,TRK/TRK TRAC,BICYCLE,,UNK,1,0,,
100829322,"Wed., Sep. 08,2010",09:01,EMBARCADERO,236,N,MISSION,TRK/TRK TRAC,BICYCLE,,22107,1,0,,
100852442,"Tue., Sep. 14,2010",16:47,5TH,0,X,FOLSOM,TRK/TRK TRAC,BICYCLE,,22107,1,0,YES,
100857997,"Thu., Sep. 16,2010",08:58,GUERRERO,57,N,20TH,TRK/TRK TRAC,BICYCLE,,22107,1,0,,
100890674,"Sat., Sep. 25,2010",07:50,JOHN MUIR,1486,E,SKYLINE,TRK/TRK TRAC,BICYCLE,,22107,1,0,,
100939755,"Sat., Oct. 09,2010",14:08,7TH,0,X,HARRISON,TRK/TRK TRAC,BICYCLE,,22107,1,0,,
100955820,"Thu., Oct. 14,2010",09:18,GRANT,37,N,OFARRELL,TRK/TRK TRAC,BICYCLE,,23114,1,0,,
100972476,"Tue., Oct. 19,2010",15:10,COLUMBIA SQUARE,0,X,FOLSOM,TRK/TRK TRAC,BICYCLE,,22107,1,0,0,
100991357,"Mon., Oct. 25,2010",10:21,JACKSON,49,E,LAGUNA,TRK/TRK TRAC,BICYCLE,,22517,1,0,,
101071809,"Thu., Nov. 18,2010",15:24,JOHN F KENNEDY,8,W,MIDDLE EAST,TRK/TRK TRAC,BICYCLE,,22517,1,0,,
101096205,"Fri., Nov. 26,2010",19:30,MARKET,0,X,LAGUNA,TRK/TRK TRAC,BICYCLE,,21801A,1,0,,
100028063,"Sat., Jan. 09,2010",11:00,WEST PORTAL,15,S,14TH,AUTO,BICYCLE,AUTO,22517,1,0,,
100363132,"Mon., Apr. 19,2010",18:39,MARKET,228,W,NOE,AUTO,BICYCLE,AUTO,22517,1,0,,
100492349,"Thu., May. 27,2010",15:05,MISSION,5,W,GRACE,AUTO,BICYCLE,AUTO,22105,1,0,,
100535808,"Wed., Jun. 09,2010",22:36,MARKET,0,X,HYDE,AUTO,BICYCLE,AUTO,22450,3,0,YES,
101087624,"Tue., Nov. 23,2010",18:10,SAN JOSE,207,N,30TH,AUTO,BICYCLE,AUTO,22107,1,0,,
100671838,"Thu., Jul. 22,2010",18:41,17TH,101,E,MISSION,TRK/TRK TRAC,BICYCLE,AUTO,22517,1,0,,
100080308,"Mon., Jan. 25,2010",10:32,25TH,0,X,HARRISON,AUTO,BICYCLE,AUTO (PKD),22450,0,0,,
100509900,"Wed., Jun. 02,2010",08:50,FILLMORE,0,X,FULTON,AUTO,BICYCLE,AUTO (PKD),21801A,1,0,,
100759036,"Wed., Aug. 18,2010",20:23,24TH,198,W,CASTRO,TAXI,BICYCLE,AUTO (PKD),21801A,1,0,,
100834484,"Thu., Sep. 09,2010",16:29,FILLMORE,130,N,EDDY,TRK/TRK TRAC,BICYCLE,AUTO (PKD),21658A,1,0,,
100409601,"Mon., May. 03,2010",17:28,ARGUELLO,39,N,GOLDEN GATE,AUTO,BICYCLE,BICYCLE,22517,2,0,,
100413323,"Tue., May. 04,2010",17:56,21ST,0,X,POTRERO,AUTO,BICYCLE,BICYCLE,21801A,1,0,,
100287736,"Sat., Mar. 27,2010",12:35,MARKET,63,E,FRANKLIN,AUTO,BICYCLE,LIMOUSINE,22517,1,0,,
100622709,"Wed., Jul. 07,2010",08:58,EMBARCADERO,10,W,MARKET,BICYCLE,BICYCLE,PEDESTRIAN,22350,2,0,YES,
100921097,"Mon., Oct. 04,2010",09:04,PAGE,133,W,LAGUNA,AUTO,BICYCLE,TRK/TRK TRAC,22517,1,0,,
100269267,"Mon., Mar. 22,2010",09:29,VALENCIA,7,S,DUNCAN,AUTO,AUTO,BICYCLE,22350,1,0,,
100950143,"Tue., Oct. 12,2010",17:36,13TH,0,X,HARRISON,AUTO,AUTO,BICYCLE,21453A,3,0,,
101256453,"Sat., Nov. 13,2010",22:53,21ST,0,X,BRYANT,AUTO,AUTO,BICYCLE,22450A,0,0,YES,
100897614,"Mon., Sep. 27,2010",11:00,MC ALLISTER,194,E,WEBSTER,AUTO,AUTO (PKD),BICYCLE,22350,2,0,,
100409601,"Mon., May. 03,2010",17:28,ARGUELLO,39,N,GOLDEN GATE,AUTO,BICYCLE,BICYCLE,22517,2,0,,
100413323,"Tue., May. 04,2010",17:56,21ST,0,X,POTRERO,AUTO,BICYCLE,BICYCLE,21801A,1,0,,
