,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017","D018","D019","D020","D021","D022","D023","D024","D025","D026","D027","D028","D029","D030","D031","D032","D033","D034","D035","D036","D037","D038","D039","D040","D041","D042","D043","D044","D045","D046","D047","D048","D049"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:"
"Id","Id2","Geography",,,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over",,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
"1000000US060750101001015",60750101001015,"Block 1015, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001016",60750101001016,"Block 1016, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001017",60750101001017,"Block 1017, Block Group 1, Census Tract 101, San Francisco County, California",200,96,0,0,0,0,0,1,0,6,20,24,9,6,3,6,7,3,0,0,2,2,4,1,2,104,1,0,0,0,1,1,0,6,30,18,8,5,4,3,4,1,3,2,5,3,3,2,4
"1000000US060750101001018",60750101001018,"Block 1018, Block Group 1, Census Tract 101, San Francisco County, California",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001019",60750101001019,"Block 1019, Block Group 1, Census Tract 101, San Francisco County, California",389,192,2,1,0,0,0,0,1,12,45,35,21,11,12,5,14,4,7,5,2,9,2,2,2,197,2,0,0,0,0,1,3,20,57,29,23,7,10,4,8,5,8,6,3,1,3,2,5
"1000000US060750101001020",60750101001020,"Block 1020, Block Group 1, Census Tract 101, San Francisco County, California",93,51,1,0,0,0,0,0,0,2,14,7,14,5,1,0,1,1,1,2,0,0,0,1,1,42,0,0,0,0,0,0,0,2,19,9,3,3,1,0,2,0,2,0,0,0,0,0,1
"1000000US060750101001021",60750101001021,"Block 1021, Block Group 1, Census Tract 101, San Francisco County, California",24,12,0,0,0,0,0,0,0,0,2,2,3,1,1,1,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,3,0,1,1,2,2,2,0,1,0,0,0,0,0,0
"1000000US060750101001022",60750101001022,"Block 1022, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001023",60750101001023,"Block 1023, Block Group 1, Census Tract 101, San Francisco County, California",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001024",60750101001024,"Block 1024, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
