,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750101002004",60750101002004,"Block 2004, Block Group 2, Census Tract 101, San Francisco County, California",264,246,109,9,1,116,0,0,11,18,14,0,0,0,0,2,2
"1000000US060750101002005",60750101002005,"Block 2005, Block Group 2, Census Tract 101, San Francisco County, California",79,72,47,2,0,21,0,0,2,7,2,0,1,0,0,4,0
"1000000US060750101002006",60750101002006,"Block 2006, Block Group 2, Census Tract 101, San Francisco County, California",599,525,61,102,0,323,20,7,12,74,14,6,0,0,0,45,9
"1000000US060750101002007",60750101002007,"Block 2007, Block Group 2, Census Tract 101, San Francisco County, California",430,394,60,77,0,233,0,1,23,36,11,7,0,0,0,13,5
"1000000US060750101002008",60750101002008,"Block 2008, Block Group 2, Census Tract 101, San Francisco County, California",19,16,14,0,0,1,0,1,0,3,2,0,0,0,0,1,0
"1000000US060750101002009",60750101002009,"Block 2009, Block Group 2, Census Tract 101, San Francisco County, California",38,38,32,0,0,4,0,1,1,0,0,0,0,0,0,0,0
"1000000US060750101002010",60750101002010,"Block 2010, Block Group 2, Census Tract 101, San Francisco County, California",281,271,201,3,0,62,0,0,5,10,6,0,0,0,0,4,0
"1000000US060750101002011",60750101002011,"Block 2011, Block Group 2, Census Tract 101, San Francisco County, California",61,58,49,0,0,6,0,0,3,3,1,0,1,0,0,1,0
"1000000US060750101002012",60750101002012,"Block 2012, Block Group 2, Census Tract 101, San Francisco County, California",43,42,27,0,0,15,0,0,0,1,1,0,0,0,0,0,0
"1000000US060750101002013",60750101002013,"Block 2013, Block Group 2, Census Tract 101, San Francisco County, California",93,91,78,0,0,10,0,0,3,2,2,0,0,0,0,0,0
"1000000US060750101002014",60750101002014,"Block 2014, Block Group 2, Census Tract 101, San Francisco County, California",85,82,73,3,0,3,0,0,3,3,2,0,0,0,0,1,0
"1000000US060750101002015",60750101002015,"Block 2015, Block Group 2, Census Tract 101, San Francisco County, California",44,39,27,1,0,9,1,0,1,5,5,0,0,0,0,0,0
"1000000US060750101002016",60750101002016,"Block 2016, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101002017",60750101002017,"Block 2017, Block Group 2, Census Tract 101, San Francisco County, California",244,226,152,5,0,54,0,1,14,18,11,0,0,0,0,2,5
"1000000US060750101002018",60750101002018,"Block 2018, Block Group 2, Census Tract 101, San Francisco County, California",131,121,85,0,0,32,0,0,4,10,8,0,1,0,0,1,0
"1000000US060750101002019",60750101002019,"Block 2019, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001000",60750102001000,"Block 1000, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
